Nome, Camera, Regione
Aiello Davide,"Camera"," "
Alifano Enrica,"Camera","Campania"
Aloisio Vincenza,"Senato",Campania
Amato Gaetano,"Camera"," "
Appendino Chiara,"Camera","Piemonte"
Ascari Stefania,"Camera","Emilia-Romagna"
Auriemma Carmela,"Camera"," "
Baldino Vittoria,"Camera","Calabria"
Bevilacqua Dolores,"Senato"," "
Bruno Raffaele,"Camera","Campania"
Cafiero De Raho Federico,"Camera","Calabria"
Cantone Luciano,"Camera","Sicilia"
Cappelletti Enrico,"Camera","Veneto"
Caramiello Alessandro,"Camera","Campania"
Carmina Ida,Camera,"Sicilia"
Carotenuto Dario,"Camera"," "
Caso Antonio,"Camera"," "
Castellone Maria Domenica,"Senato",Campania
Cataldi Roberto,"Senato",Marche
Colucci Alfonso,"Camera","Lazio"
Conte Giuseppe,"Camera","Lombardia/Sicilia/Puglia"
Costa Sergio,"Camera","Campania"
Croatti Marco,"Senato",Emilia-Romagna
Damante Concetta,"Senato",Sicilia
De Rosa Raffaele,"Senato"," "
Dell’olio Gianmauro,"Camera","Puglia"
Di Girolamo Gabriella,"Senato",Abruzzo
Di Lauro Carmela,"Camera","Campania"
Donno Leonardo,"Camera","Puglia"
D’orso Valentina,"Camera","Sicilia"
Fede Giorgio,"Camera","Marche"
Fenu Emiliano,"Camera","Sardegna"
Floridia Barbara,"Senato",Sicilia
Fontana Ilaria,"Camera","Lazio"
Giuliano Carla,"Camera","Puglia"
Gubitosa Michele,"Camera","Campania"
Guidolin Barbara,"Senato",Veneto
Licheri Ettore Antonio,"Senato",Toscana/Sardegna
Lomuti Arnaldo,"Camera","Basilicata"
Lopreiato Ada,"Senato"," "
L’abbate Pasqua,"Camera","Puglia"
Maiorino Alessandra,"Senato",Lazio
Marton Bruno,"Senato",Lombardia
Mazzella Orfeo,"Senato"," "
Naturale Gisella,"Senato",Puglia
Nave Luigi,"Senato",Campania
Orrico Anna Laura,"Camera"," "
Patuanelli Stefano,"Senato",Lazio/Campania
Pellegrini Marco,"Camera"," "
Penza Pasqualino,"Camera"," "
Pirondini Luca,"Senato",Liguria
Pirro Elisa,"Senato",Piemonte
Quartini Andrea,"Camera","Toscana"
Raffa Angela,"Camera","Sicilia"
Ricciardi Riccardo,"Camera","Toscana"
Santillo Agostino,"Camera","Campania"
Scarpinato Ferdinando,"Senato",Calabria/Sicilia
Scerra Filippo,"Camera","Sicilia"
Silvestri Francesco,"Camera","Lazio"
Sironi Elena,"Senato",Lombardia
Sorial Samuel,"Camera","Lombardia"
Sportiello Gilda,"Camera","Campania"
Todde Alessandra,"Camera","Lombardia / Sardegna"
Torto Daniela,"Camera","Abruzzo"
Traversi Roberto,"Camera","Liguria"
Turco Mario,"Senato",Basilicata/Puglia
